PROGRAMA,€
ÓRGÃOS DE SOBERANIA,5296925131
GOVERNAÇÃO,2085992592
REPRESENTAÇÃO EXTERNA,611298778
DEFESA,2507120473
SEGURANÇA INTERNA,2434388508
JUSTIÇA,2021786951
FINANÇAS,24893139528
GESTÃO DA DÍVIDA PÚBLICA,90597130000
ECONOMIA E MAR,4615215296
CULTURA,919973768
"CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR",5080852343
ENSINO BÁSICO E SECUNDÁRIO E ADMINISTRAÇÃO ESCOLAR,8204616781
"TRABALHO, SOLIDARIEDADE E SEGURANÇA SOCIAL",27635307653
SAÚDE,34559853340
AMBIENTE E AÇÃO CLIMÁTICA,4412912100
INFRAESTRUTURAS E HABITAÇÃO,6949407641
AGRICULTURA E ALIMENTAÇÃO,1712542283
